biased_sent,debiased_sent,model_output
"In the 1980s the aptly named Ronald Reagan ( pronounced ray-gun ) revived the idea as a matter for public funding with his Strategic Defense Initiative program , which was immediately nicknamed Star Wars , due to its objective to put weapons in space .","In the 1980s , Ronald Reagan revived the idea as a matter for public funding with his Strategic Defense Initiative program , which was immediately nicknamed Star Wars , due to its objective to put weapons in space .","In the 1980s the aptly named Ronald Reagan revived the idea as a matter for public funding with his Strategic Defense Initiative program , which was immediately nicknamed Star Wars , due to its objective to put weapons in space ."
"Several vendors have shipped BIOS configurations with the extension disabled , requiring a BIOS update to fix .",Several vendors have shipped BIOS configurations with the extension disabled ; a BIOS update is required to enable them .,"Several vendors have shipped BIOS configurations with the extension disabled , requiring a BIOS update to fix ."
"Led by Colonel Albert P. Thompson , of Paducah , the gallant cavalrymen swooped down on the fort .","Led by Colonel Albert P. Thompson , of Paducah , the Confederate cavalrymen swooped down on the fort .","Led by Colonel Albert P. Thompson , of Paducah , the cavalrymen swooped down on the fort ."
"However , the Chicago Sun-Times released a video of Rauner at a campaign event expressing adamant opposition to the minimum wage .",The Chicago Sun-Times released a video of Rauner at a campaign event expressing opposition to the minimum wage hike .,The Chicago Sun-Times released a video of Rauner at a campaign event expressing opposition to the minimum wage .
"His mother , Amanda Elie , spuriously stated that her son "" could still be alive today "" if Kids Company had n't closed , even though it 's presence would have not stopped him being mugged .","His mother , Amanda Elie , stated that her son "" could still be alive today "" if Kids Company had n't closed .","His mother , Amanda Elie , stated that her son "" could still be alive today "" if Kids Company had n't closed , even though it 's presence would have not stopped him being mugged ."
"There was a tragic irony to the murder , which was not lost on the community of aspiring writers and actors in New York : while Abbott was an accomplished writer , Adan was both an actor and a playwright , whose talent was just beginning to be recognized ; shortly before his murder his first play had been accepted for production by the La Mama theatre company .","While Abbott was an accomplished writer , Adan was both an actor and a playwright , whose talent was just beginning to be recognized ; shortly before his murder his first play had been accepted for production by the La Mama theatre company .","There was a tragic irony to the murder , which was not lost on the community of aspiring writers and actors in New York : while Abbott was an accomplished writer , Adan was both an actor and a playwright , whose talent was just beginning to be recognized ; shortly before his murder his first play had been accepted for production by the La Mama theatre company ."
"Harvard 's history , influence , and wealth have made it one of the most prestigious universities in the world .","Harvard 's history , influence , and wealth have made some refer to it as one of the most prestigious universities in the world .","Harvard 's history , influence , and wealth have made it one of the most prestigious universities in the United States ."
"The Copenhagen Interpretation denies that the wave function is real , it is a mathematical tool for calculating probabilities of specific experiments .","The Copenhagen Interpretation denies that the wave function is real , or is at least non - commital about its reality ; it is a mathematical tool for calculating probabilities of specific experiments .","The Copenhagen Interpretation denies that the wave function is real , it is a mathematical tool for calculating probabilities of specific experiments ."
"It looked striking and was cheaper than a Golf Cabriolet but not up to Volkswagen standards in terms of quality or ability , which is disappointing considering Volkswagen entrusted assembly of the Golf Cabriolet to Karmann , and Fiat the Ritmo to Bertone .","It looked striking and was cheaper than a Golf Cabriolet but not up to Volkswagen standards in terms of quality or ability , despite Volkswagen having entrusted assembly of the Golf Cabriolet to Karmann , and Fiat the Ritmo to Bertone .","It looked striking and was cheaper than a Golf Cabriolet but not up to Volkswagen standards in terms of quality or ability , which is disappointing considering Volkswagen entrusted assembly of the Golf Cabriolet to Karmann , and Fiat the Ritmo to Bertone ."
"The of the SS was the set of ideas and values officially espoused by the Schutzstaffel ( "" Protection Squadron "" ; SS ) , a huge and powerful paramilitary force of the Nazi Party and which emphasized "" racial purity "" , antisemitism , fitness , field exercises , and loyalty to Adolf Hitler and Nazi Germany .","The ideology espoused by the Schutzstaffel ( "" Protection Squadron "" ; SS ) , a huge and powerful paramilitary force of the Nazi Party and which emphasized a racist vision of "" racial purity "" , antisemitism , fitness , field exercises , and loyalty to Adolf Hitler and Nazi Germany .","The of the SS was the set of ideas and values officially espoused by the Schutzstaffel ( "" Protection Squadron "" ; SS ) , a huge and powerful paramilitary force of the Nazi Party and which emphasized "" racial purity "" , antisemitism , fitness , field exer You are provided with a linguistically biased sentence from a wikipedia article. Linguistic bias refers to the use of words, phrases, or structures that carry a subjective tone. Such biases can influence the reader's perception, making the text less neutral. Your task is to rephrase the given sentence to remove or neutralize the bias in such a way that most of its original meaning, content and structure is retained."
